Time,Original Path,Original Filename,New Path,New Filename,Status,Source
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Easy Rider Premium Car Seat.jpg,Bonbijou Easy Rider Premium Car Seat.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_1.jpg,____po_1.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Explorer Foldable Car Seat with Bag_Black.jpg,Bonbijou Explorer Foldable Car Seat with Bag_Black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_2.jpg,____po_2.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Explorer Foldable Car Seat with Bag_Grey.jpg,Bonbijou Explorer Foldable Car Seat with Bag_Grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_3.jpg,____po_3.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Luna Stroller_Black.jpg,Bonbijou Luna Stroller_Black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_bonbijou_bonbijou luna stroller__po_1.jpg,j&e_bonbijou_bonbijou luna stroller__po_1.jpg,DryRun,Metadata
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Luna Stroller_Grey.jpg,Bonbijou Luna Stroller_Grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_bonbijou_bonbijou luna stroller__po_2.jpg,j&e_bonbijou_bonbijou luna stroller__po_2.jpg,DryRun,Metadata
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Orbit 360 Car Seat_black.jpg,Bonbijou Orbit 360 Car Seat_black.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_4.jpg,____po_4.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Orbit 360 Car Seat_grey.jpg,Bonbijou Orbit 360 Car Seat_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_5.jpg,____po_5.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou S5 3 in 1 Quickfold Playpen_Grey.jpg,Bonbijou S5 3 in 1 Quickfold Playpen_Grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\j&e_bonbijou_bonbijou s5 3 in 1 quickfold playpen + add on option__po_1.jpg,j&e_bonbijou_bonbijou s5 3 in 1 quickfold playpen + add on option__po_1.jpg,DryRun,Metadata
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Takara Multipurpose Baby Cot Natural WO Varnish  + Bonbijou Bamboo Fabric Anti-Dustmite High Density Foam Mattress with Hole.jpg,Bonbijou Takara Multipurpose Baby Cot Natural WO Varnish  + Bonbijou Bamboo Fabric Anti-Dustmite High Density Foam Mattress with Hole.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_6.jpg,____po_6.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_black_green_grey.jpg,Bonbijou Value Bundle_black_green_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_7.jpg,____po_7.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_black_grey_grey.jpg,Bonbijou Value Bundle_black_grey_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_8.jpg,____po_8.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_grey_green_grey.jpg,Bonbijou Value Bundle_grey_green_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_9.jpg,____po_9.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_grey_grey_grey.jpg,Bonbijou Value Bundle_grey_grey_grey.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_10.jpg,____po_10.jpg,DryRun,NotFound
2025-06-06 12:16:13,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Dr Brown's All in 1 Newborn Bundle.jpg,Dr Brown's All in 1 Newborn Bundle.jpg,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\____po_11.jpg,____po_11.jpg,DryRun,NotFound
