Time,Original Path,Original Filename,New Filename,Status,Source
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_grey.jpg,Hamilton T1 Turnable Stroller_grey.jpg,271_hamilton_hamilton t1 turnable stroller__po_2.jpg,DryRun,Metadata
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_khaki.jpg,Hamilton T1 Turnable Stroller_khaki.jpg,271_hamilton_hamilton t1 ready to go bundle__po_1.jpg,DryRun,Metadata
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Black.jpg,Hamilton X1 Lite Stroller_Black.jpg,271_hamilton_hamilton x1 lite stroller_black__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Green.jpg,Hamilton X1 Lite Stroller_Green.jpg,271_hamilton_hamilton x1 lite stroller_green__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Grey.jpg,Hamilton X1 Lite Stroller_Grey.jpg,271_hamilton_hamilton x1 lite stroller_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Navy.jpg,Hamilton X1 Lite Stroller_Navy.jpg,271_hamilton_hamilton x1 lite stroller_navy__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Travel System_Black.jpg,Hamilton X1 Lite Travel System_Black.jpg,271_hamilton_hamilton x1 lite travel system_black__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Travel System_Green.jpg,Hamilton X1 Lite Travel System_Green.jpg,271_hamilton_hamilton x1 lite travel system_green__po_1.jpg,DryRun,BrandFallback+Product
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Isauchi Baby Weaning Value Bundle.jpg,Isauchi Baby Weaning Value Bundle.jpg,271_isa uchi_isa uchi baby weaning value bundle__po_1.jpg,DryRun,Metadata
2025-06-11 15:01:05,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Kinderkraft Nubi 2 Lightweight Stroller With Automatic Folding_grey.jpg,Kinderkraft Nubi 2 Lightweight Stroller With Automatic Folding_grey.jpg,271_kinderkraft_kinderkraft nubi 2 lightweight stroller with automatic folding_grey__po_1.jpg,DryRun,BrandFallback+Product
