Time,Original Path,Original Filename,New Filename,Status,Source
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Easy Rider Premium Car Seat.jpg,Bonbijou Easy Rider Premium Car Seat.jpg,j&e_bonbijou_bonbijou easy rider premium car seat__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Explorer Foldable Car Seat with Bag_Black.jpg,Bonbijou Explorer Foldable Car Seat with Bag_Black.jpg,j&e_bonbijou_bonbijou explorer foldable car seat with bag_black__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Explorer Foldable Car Seat with Bag_Grey.jpg,Bonbijou Explorer Foldable Car Seat with Bag_Grey.jpg,j&e_bonbijou_bonbijou explorer foldable car seat with bag_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Luna Stroller_Black.jpg,Bonbijou Luna Stroller_Black.jpg,j&e_bonbijou_bonbijou luna stroller__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Luna Stroller_Grey.jpg,Bonbijou Luna Stroller_Grey.jpg,j&e_bonbijou_bonbijou luna stroller__po_2.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Orbit 360 Car Seat_black.jpg,Bonbijou Orbit 360 Car Seat_black.jpg,infantino_bonbijou_bonbijou orbit 360 car seat_black__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Orbit 360 Car Seat_grey.jpg,Bonbijou Orbit 360 Car Seat_grey.jpg,infantino_bonbijou_bonbijou orbit 360 car seat_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou S5 3 in 1 Quickfold Playpen_Grey.jpg,Bonbijou S5 3 in 1 Quickfold Playpen_Grey.jpg,j&e_bonbijou_bonbijou s5 3 in 1 quickfold playpen + add on option__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Takara Multipurpose Baby Cot Natural WO Varnish  + Bonbijou Bamboo Fabric Anti-Dustmite High Density Foam Mattress with Hole.jpg,Bonbijou Takara Multipurpose Baby Cot Natural WO Varnish  + Bonbijou Bamboo Fabric Anti-Dustmite High Density Foam Mattress with Hole.jpg,j&e_bonbijou_bonbijou takara multipurpose baby cot natural wo varnish  + bonbijou bamboo fabric anti-dustmite high density foam mattress with hole__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_black_green_grey.jpg,Bonbijou Value Bundle_black_green_grey.jpg,j&e_bonbijou_bonbijou value bundle_black_green_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_black_grey_grey.jpg,Bonbijou Value Bundle_black_grey_grey.jpg,j&e_bonbijou_bonbijou value bundle_black_grey_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_grey_green_grey.jpg,Bonbijou Value Bundle_grey_green_grey.jpg,j&e_bonbijou_bonbijou value bundle_grey_green_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Bonbijou Value Bundle_grey_grey_grey.jpg,Bonbijou Value Bundle_grey_grey_grey.jpg,j&e_bonbijou_bonbijou value bundle_grey_grey_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Dr Brown's All in 1 Newborn Bundle.jpg,Dr Brown's All in 1 Newborn Bundle.jpg,j&e_dr brown's_dr brown's all in 1 newborn bundle__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Enve Breastfeeding Essential Bundle.jpg,Enve Breastfeeding Essential Bundle.jpg,j&e_enve_enve breastfeeding essential bundle__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Ergobaby Metro+ City Compact Stroller.jpg,Ergobaby Metro+ City Compact Stroller.jpg,b&g bloom & grow_ergobaby_ergobaby metro+ city compact stroller + free gift__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton Ready To Go Bundle_black.jpg,Hamilton Ready To Go Bundle_black.jpg,j&e_hamilton_hamilton ready to go bundle__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton S2 Compact Stroller_Black.jpg,Hamilton S2 Compact Stroller_Black.jpg,j&e_hamilton_hamilton s2 compact stroller_black__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_black copy.jpg,Hamilton T1 Turnable Stroller_black copy.jpg,j&e_hamilton_hamilton t1 turnable stroller_black copy__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_black.jpg,Hamilton T1 Turnable Stroller_black.jpg,j&e_hamilton_hamilton t1 turnable stroller__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_grey copy.jpg,Hamilton T1 Turnable Stroller_grey copy.jpg,j&e_hamilton_hamilton t1 turnable stroller_grey copy__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_grey.jpg,Hamilton T1 Turnable Stroller_grey.jpg,j&e_hamilton_hamilton t1 turnable stroller__po_2.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton T1 Turnable Stroller_khaki.jpg,Hamilton T1 Turnable Stroller_khaki.jpg,j&e_hamilton_hamilton t1 ready to go bundle__po_1.jpg,DryRun,Metadata
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Black.jpg,Hamilton X1 Lite Stroller_Black.jpg,j&e_hamilton_hamilton x1 lite stroller_black__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Green.jpg,Hamilton X1 Lite Stroller_Green.jpg,j&e_hamilton_hamilton x1 lite stroller_green__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Grey.jpg,Hamilton X1 Lite Stroller_Grey.jpg,j&e_hamilton_hamilton x1 lite stroller_grey__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Stroller_Navy.jpg,Hamilton X1 Lite Stroller_Navy.jpg,j&e_hamilton_hamilton x1 lite stroller_navy__po_1.jpg,DryRun,BrandFallback+Product
2025-06-10 15:41:22,images/1. Jan MM Fair\1. Jan MM Fair\Images for Ops\PO\Hamilton X1 Lite Travel System_Black.jpg,Hamilton X1 Lite Travel System_Black.jpg,j&e_hamilton_hamilton x1 lite travel system_black__po_1.jpg,DryRun,BrandFallback+Product
